X,Y,Z,Classification,NumberOfReturns,ReturnNumber,Intensity
276575.94,1557999.32,231.53,5,2,1,1
276575.68,1557999.20,231.25,5,2,1,5
276575.58,1557999.16,231.44,5,2,1,8
276575.39,1557999.08,231.32,5,2,1,7
276574.86,1557998.80,230.11,5,2,1,13
276574.78,1557998.77,230.26,5,2,1,16
276574.82,1557998.81,230.74,5,2,1,13
276574.71,1557998.76,230.74,5,2,1,16
276574.74,1557998.79,231.11,5,1,1,15
276574.65,1557998.75,231.10,5,1,1,18
276574.50,1557998.68,230.87,5,1,1,16
276574.41,1557998.64,230.78,5,1,1,15
276574.27,1557998.57,230.53,5,1,1,20
276574.24,1557998.55,230.56,5,1,1,18
276574.21,1557998.54,230.59,5,1,1,16
276574.19,1557998.53,230.58,5,1,1,16
276574.27,1557998.59,230.98,5,1,1,16
276574.20,1557998.55,230.83,5,1,1,17
276574.26,1557998.59,231.03,5,1,1,13
276574.09,1557998.48,230.42,5,1,1,15
276574.20,1557998.54,230.66,5,1,1,17
276574.33,1557998.61,230.94,5,1,1,15
276574.28,1557998.57,230.62,5,1,1,19
276574.36,1557998.61,230.67,5,2,1,19
276574.54,1557998.69,230.99,5,1,1,19
276574.70,1557998.77,231.23,5,1,1,16
276574.76,1557998.79,231.13,5,2,1,15
276574.68,1557998.73,230.56,5,2,1,16
276574.64,1557998.69,230.07,5,2,1,15
276574.72,1557998.72,229.94,5,2,1,13
276575.16,1557998.94,230.88,5,2,1,6
276575.46,1557999.09,231.39,5,2,1,7
276575.60,1557999.15,231.36,5,2,1,7
276579.81,1557999.11,222.75,2,1,1,30
276579.03,1557998.79,222.80,2,1,1,31
276572.73,1557996.18,223.71,2,1,1,32
276574.30,1557996.81,223.57,2,1,1,39
276576.71,1557997.79,223.22,2,1,1,34
276578.86,1557998.66,222.83,2,1,1,30
276579.92,1557999.09,222.71,2,1,1,31
276579.77,1557997.76,222.57,2,1,1,29
276575.44,1557995.98,223.22,2,1,1,31
276574.50,1557995.57,223.42,2,1,1,35
276587.63,1557999.62,220.19,2,1,1,27
276586.26,1557999.09,221.01,2,1,1,32
276585.19,1557998.79,224.21,5,1,1,31
276584.32,1557998.45,224.54,5,1,1,28
276583.89,1557998.27,224.65,5,1,1,26
276583.48,1557998.11,224.83,5,1,1,28
276583.22,1557998.03,225.46,5,1,1,26
276578.33,1557995.85,222.69,2,1,1,29
276576.19,1557994.97,222.97,2,1,1,33
276575.68,1557994.76,223.08,2,1,1,30
276573.62,1557993.91,223.70,2,1,1,33
276574.72,1557994.34,223.28,2,1,1,31
